PermutationIndex,Permutation,MatterQubits
156673492,"[2,8,1,11,6,13,4,7,12,10,5,9,3]",4
156679594,"[4,8,2,10,6,13,1,7,11,12,3,9,5]",4
156841347,"[1,8,7,13,6,12,2,4,10,11,5,9,3]",4
157371530,"[3,8,4,11,6,10,5,7,12,13,1,9,2]",4
157393956,"[3,8,7,12,6,13,2,4,11,10,5,9,1]",4
157420449,"[3,8,6,13,5,12,2,7,11,10,1,9,4]",4
157713112,"[5,8,7,12,4,11,6,2,13,10,3,9,1]",4
158361957,"[4,6,5,13,7,11,1,8,10,12,3,9,2]",4
158414061,"[5,7,2,13,6,12,1,8,10,11,4,9,3]",4
158515124,"[2,6,1,10,7,11,4,8,13,12,5,9,3]",4
158637413,"[1,8,7,12,5,10,3,2,11,13,6,9,4]",4
158938254,"[1,7,5,12,6,11,2,8,13,10,3,9,4]",4
159161916,"[5,8,3,13,6,11,2,7,10,12,4,9,1]",4
159436107,"[2,6,1,11,7,12,5,8,13,10,3,9,4]",4
159712010,"[3,8,6,10,5,12,2,7,11,13,4,9,1]",4
159890148,"[4,2,6,13,7,11,1,8,10,12,3,9,5]",4
160009957,"[2,8,7,13,1,12,4,5,10,11,6,9,3]",4
160031475,"[1,7,4,13,6,10,2,8,12,11,3,9,5]",4
160107201,"[5,8,6,12,4,10,2,7,13,11,1,9,3]",4
160236675,"[1,2,6,10,7,12,4,8,13,11,3,9,5]",4
160307502,"[4,8,7,11,5,10,1,6,12,13,2,9,3]",4
160494635,"[2,8,6,13,1,12,5,7,11,10,3,9,4]",4
160496384,"[4,8,7,13,3,10,6,5,12,11,1,9,2]",4
160868461,"[2,6,3,13,7,11,5,8,12,10,4,9,1]",4
161216791,"[3,7,6,12,2,11,5,8,13,10,4,9,1]",4
161299972,"[5,1,6,10,7,11,4,8,13,12,2,9,3]",4
161826187,"[4,8,6,11,3,13,5,7,10,12,1,9,2]",4
161904444,"[4,2,6,10,7,12,1,8,11,13,5,9,3]",4
161981410,"[5,8,1,10,6,12,2,7,13,11,3,9,4]",4
162570467,"[4,8,7,12,1,10,5,6,11,13,3,9,2]",4
162846561,"[4,6,1,11,7,12,2,8,10,13,5,9,3]",4
162990420,"[4,8,7,11,2,10,5,1,12,13,6,9,3]",4
163117629,"[1,6,2,12,7,13,4,8,10,11,3,9,5]",4
163269451,"[3,8,7,11,6,10,5,4,13,12,1,9,2]",4
163535798,"[3,7,2,13,6,11,4,8,12,10,1,9,5]",4
163702565,"[1,8,6,10,2,13,3,7,12,11,5,9,4]",4
163867071,"[5,8,7,11,3,10,2,6,12,13,1,9,4]",4
164102706,"[4,8,5,11,6,13,1,7,12,10,3,9,2]",4
164151789,"[1,7,6,13,3,12,5,8,10,11,4,9,2]",4
164365574,"[2,6,3,11,7,10,1,8,13,12,5,9,4]",4
164496081,"[3,8,7,12,5,11,4,6,10,13,2,9,1]",4
164603614,"[2,7,5,10,6,12,1,8,13,11,3,9,4]",4
164974431,"[5,7,6,11,1,10,3,8,13,12,2,9,4]",4
165144662,"[3,8,7,13,6,12,5,2,10,11,4,9,1]",4
165147838,"[4,6,3,12,7,13,1,8,11,10,5,9,2]",4
165329261,"[3,7,2,13,6,10,4,8,11,12,5,9,1]",4
165459388,"[1,6,5,12,7,13,3,8,11,10,4,9,2]",4
165673138,"[1,8,7,10,3,12,2,4,13,11,6,9,5]",4
165909895,"[5,7,6,13,1,10,3,8,12,11,2,9,4]",4
166468261,"[1,8,7,12,5,11,2,6,10,13,3,9,4]",4
166520882,"[2,8,7,10,4,13,1,6,12,11,3,9,5]",4
166968192,"[3,2,6,10,7,12,1,8,13,11,4,9,5]",4
166970371,"[3,8,5,13,6,12,4,7,11,10,1,9,2]",4
167239934,"[2,8,7,10,6,11,4,5,12,13,1,9,3]",4
167258437,"[4,8,1,10,6,13,3,7,12,11,5,9,2]",4
167434667,"[5,8,1,13,6,11,4,7,12,10,2,9,3]",4
167973025,"[5,8,1,11,6,10,4,7,13,12,2,9,3]",4
168033030,"[5,8,7,10,1,13,2,6,11,12,4,9,3]",4
168093282,"[5,8,7,10,3,13,6,1,12,11,4,9,2]",4
168172295,"[5,8,6,10,4,13,1,7,11,12,2,9,3]",4
168517097,"[5,8,2,13,6,11,3,7,12,10,1,9,4]",4
169140522,"[3,8,4,11,6,13,1,7,10,12,2,9,5]",4
169344696,"[4,7,6,11,1,13,3,8,12,10,5,9,2]",4
169468522,"[1,7,2,11,6,10,3,8,13,12,4,9,5]",4
169535403,"[1,8,7,10,3,12,2,6,11,13,5,9,4]",4
169859262,"[1,8,7,12,6,11,5,3,13,10,2,9,4]",4
169861099,"[1,8,7,13,6,11,5,3,10,12,2,9,4]",4
170022593,"[4,8,7,11,5,10,1,6,12,13,2,9,3]",4
170132157,"[3,7,6,12,2,10,4,8,13,11,5,9,1]",4
170980669,"[3,6,1,12,7,10,4,8,13,11,5,9,2]",4
171138239,"[5,8,7,13,2,12,4,3,10,11,6,9,1]",4
171330680,"[1,8,6,10,5,13,2,7,11,12,3,9,4]",4
171396394,"[2,8,6,10,3,11,1,7,13,12,5,9,4]",4
171693378,"[2,8,6,13,4,12,3,7,11,10,5,9,1]",4
171846015,"[1,5,6,10,7,13,4,8,12,11,3,9,2]",4
172249852,"[2,8,6,13,5,10,3,7,12,11,4,9,1]",4
172311460,"[3,8,7,12,4,10,6,2,11,13,1,9,5]",4
172366539,"[3,8,7,13,5,10,6,4,11,12,1,9,2]",4
172610740,"[5,8,7,11,4,13,2,3,12,10,6,9,1]",4
172677824,"[3,8,7,11,5,10,2,6,12,13,1,9,4]",4
172900951,"[1,4,6,13,7,12,5,8,10,11,3,9,2]",4
173629378,"[3,8,7,11,1,10,4,5,12,13,6,9,2]",4
174025965,"[1,8,5,12,6,10,2,7,11,13,4,9,3]",4
174669338,"[5,8,7,12,6,10,3,1,11,13,2,9,4]",4
175251575,"[4,5,6,12,7,11,2,8,10,13,3,9,1]",4
175626094,"[5,8,7,13,2,11,6,4,10,12,1,9,3]",4
