PermutationIndex,Permutation,MatterQubits
22037716,"[9,13,5,10,11,3,7,4,2,1,12,6,8]",4
22240816,"[9,13,5,10,12,3,7,2,4,6,11,1,8]",4
23978750,"[9,13,2,10,12,5,3,1,4,6,11,7,8]",4
24025416,"[9,11,2,12,10,1,6,3,5,4,13,7,8]",4
24941207,"[9,11,1,12,10,4,7,5,3,2,13,6,8]",4
246028174,"[9,13,4,11,10,2,7,1,5,3,12,6,8]",4
246444056,"[9,13,1,10,11,3,7,2,4,6,12,5,8]",4
246977315,"[9,11,5,10,12,2,7,1,4,3,13,6,8]",4
247323931,"[9,13,5,12,11,2,7,3,4,1,10,6,8]",4
247792774,"[9,10,2,12,11,4,7,1,3,6,13,5,8]",4
248345951,"[9,11,1,10,12,3,7,4,2,5,13,6,8]",4
249074552,"[9,11,4,10,13,5,6,1,2,3,12,7,8]",4
249493294,"[9,11,1,12,13,4,6,2,3,5,10,7,8]",4
250520779,"[9,12,3,13,11,1,7,5,2,4,10,6,8]",4
251312468,"[9,11,5,12,10,1,7,4,2,3,13,6,8]",4
251540402,"[9,13,3,12,10,5,7,2,1,4,11,6,8]",4
251639273,"[9,10,2,13,12,4,6,5,3,1,11,7,8]",4
252706652,"[9,11,2,12,10,4,7,1,3,6,13,5,8]",4
253549804,"[9,12,2,13,10,4,7,1,3,5,11,6,8]",4
253775699,"[9,13,5,12,11,2,1,4,3,6,10,7,8]",4
254242580,"[9,13,1,11,10,2,7,3,5,4,12,6,8]",4
254490606,"[9,11,5,10,12,4,7,3,1,6,13,2,8]",4
254837557,"[9,11,5,12,10,2,7,1,4,3,13,6,8]",4
255223695,"[9,13,1,11,12,3,2,5,4,6,10,7,8]",4
255371048,"[9,11,5,12,10,2,1,4,3,6,13,7,8]",4
255733617,"[9,12,4,13,11,3,7,5,2,6,10,1,8]",4
256117862,"[9,10,4,13,12,5,6,1,2,3,11,7,8]",4
256192623,"[9,12,1,13,11,4,2,3,5,6,10,7,8]",4
256360779,"[9,13,1,11,10,3,7,2,4,5,12,6,8]",4
256762666,"[9,13,4,11,12,1,7,3,2,5,10,6,8]",4
256773479,"[9,13,4,10,11,1,7,5,3,6,12,2,8]",4
257991402,"[9,10,3,13,12,5,6,1,4,2,11,7,8]",4
258631146,"[9,13,4,12,11,1,7,5,3,6,10,2,8]",4
258697054,"[9,10,5,11,12,1,2,3,4,6,13,7,8]",4
259139904,"[9,11,2,12,13,4,6,5,3,1,10,7,8]",4
260009271,"[9,10,4,13,12,2,7,1,5,3,11,6,8]",4
260168383,"[9,10,4,12,13,3,6,2,5,1,11,7,8]",4
260765786,"[9,10,1,13,11,4,7,2,5,3,12,6,8]",4
261482900,"[9,11,2,10,12,3,1,5,4,6,13,7,8]",4
261840185,"[9,12,3,10,13,5,4,1,2,6,11,7,8]",4
261925946,"[9,13,2,10,12,1,6,4,3,5,11,7,8]",4
262017815,"[9,10,4,11,12,2,6,5,3,1,13,7,8]",4
263267036,"[9,11,1,10,12,2,7,4,3,5,13,6,8]",4
264054048,"[9,10,5,13,12,3,2,4,1,6,11,7,8]",4
264706301,"[9,13,2,12,11,1,7,3,4,5,10,6,8]",4
265086336,"[9,13,2,10,11,5,7,1,3,4,12,6,8]",4
265281431,"[9,12,4,10,13,2,7,1,5,6,11,3,8]",4
265325135,"[9,13,3,10,11,4,7,1,5,6,12,2,8]",4
266460250,"[9,12,5,10,11,1,7,2,4,3,13,6,8]",4
266855110,"[9,10,2,13,11,1,7,4,5,3,12,6,8]",4
267127803,"[9,13,2,10,12,4,5,1,3,6,11,7,8]",4
267317116,"[9,12,3,13,10,4,6,2,1,5,11,7,8]",4
268667210,"[9,10,4,11,12,3,1,5,2,6,13,7,8]",4
270342145,"[9,10,1,13,12,5,6,2,3,4,11,7,8]",4
272779292,"[9,11,5,13,12,4,7,1,2,3,10,6,8]",4
274758314,"[9,12,1,10,11,5,3,4,2,6,13,7,8]",4
275217052,"[9,11,3,12,13,2,7,1,5,6,10,4,8]",4
275340592,"[9,12,2,10,13,1,7,3,4,5,11,6,8]",4
275582943,"[9,12,3,10,11,2,1,5,4,6,13,7,8]",4
275649032,"[9,13,2,11,12,5,7,3,1,6,10,4,8]",4
275731798,"[9,12,1,13,10,4,6,5,3,2,11,7,8]",4
276000599,"[9,13,3,10,11,1,2,5,4,6,12,7,8]",4
276123453,"[9,12,5,13,10,2,7,3,4,1,11,6,8]",4
276155759,"[9,13,1,11,12,4,7,5,3,6,10,2,8]",4
276283959,"[9,11,4,13,12,5,1,2,3,6,10,7,8]",4
276284672,"[9,10,3,12,11,4,6,5,1,2,13,7,8]",4
276588746,"[9,11,2,10,13,5,1,4,3,6,12,7,8]",4
277115035,"[9,12,1,11,13,5,7,2,3,6,10,4,8]",4
277598867,"[9,11,4,13,10,1,6,3,2,5,12,7,8]",4
278237251,"[9,11,1,12,10,4,7,5,2,3,13,6,8]",4
279821199,"[9,11,4,13,10,1,7,3,2,6,12,5,8]",4
279918975,"[9,10,1,11,13,3,5,4,2,6,12,7,8]",4
280107553,"[9,12,1,11,13,3,7,4,5,6,10,2,8]",4
280872376,"[9,13,5,11,10,1,7,2,4,3,12,6,8]",4
281160857,"[9,13,3,10,12,2,7,1,5,4,11,6,8]",4
281168259,"[9,12,1,11,13,4,5,3,2,6,10,7,8]",4
281323204,"[9,11,1,13,12,3,7,4,5,2,10,6,8]",4
282371768,"[9,11,5,10,13,3,7,4,1,6,12,2,8]",4
282453863,"[9,10,3,11,12,5,4,1,2,6,13,7,8]",4
282642142,"[9,11,2,12,10,1,7,3,4,6,13,5,8]",4
282733241,"[9,13,1,11,10,5,7,3,4,6,12,2,8]",4
283460347,"[9,12,1,13,10,4,7,2,5,3,11,6,8]",4
284299800,"[9,11,2,12,10,4,3,1,5,6,13,7,8]",4
285125791,"[9,13,1,10,12,3,6,4,2,5,11,7,8]",4
285545925,"[9,13,3,11,10,2,6,5,1,4,12,7,8]",4
285884669,"[9,13,2,11,10,4,6,5,3,1,12,7,8]",4
286247095,"[9,11,3,12,13,2,7,5,4,1,10,6,8]",4
286337999,"[9,11,2,12,13,4,7,3,1,5,10,6,8]",4
286399375,"[9,12,4,13,10,1,7,5,2,6,11,3,8]",4
286745812,"[9,13,2,12,10,1,6,4,3,5,11,7,8]",4
287738413,"[9,13,5,10,11,3,6,4,1,2,12,7,8]",4
287908494,"[9,13,1,10,11,4,6,5,3,2,12,7,8]",4
287992705,"[9,12,4,13,10,1,7,5,3,2,11,6,8]",4
288065145,"[9,12,3,10,11,5,7,1,4,2,13,6,8]",4
288708225,"[9,13,1,10,11,3,6,5,2,4,12,7,8]",4
289843015,"[9,10,3,11,13,1,7,4,5,6,12,2,8]",4
290412178,"[9,10,4,12,13,1,6,5,3,2,11,7,8]",4
290485481,"[9,12,3,13,11,1,7,5,2,6,10,4,8]",4
290935053,"[9,10,2,12,13,4,6,3,5,1,11,7,8]",4
291163327,"[9,10,3,12,13,5,7,2,1,4,11,6,8]",4
294443178,"[9,11,1,13,12,3,6,2,5,4,10,7,8]",4
294521619,"[9,13,2,12,11,5,7,3,4,1,10,6,8]",4
294564167,"[9,12,2,10,13,4,6,1,5,3,11,7,8]",4
294852614,"[9,13,4,10,12,3,7,1,2,5,11,6,8]",4
294891987,"[9,13,1,12,11,4,2,3,5,6,10,7,8]",4
25136631,"[9,10,1,12,11,3,6,5,2,4,13,7,8]",4
27012007,"[9,12,4,11,13,3,7,2,5,1,10,6,8]",4
27161215,"[9,12,2,10,13,4,1,5,3,6,11,7,8]",4
29364380,"[9,11,1,12,10,4,7,5,2,3,13,6,8]",4
29794529,"[9,10,2,12,11,3,7,4,5,1,13,6,8]",4
29991258,"[9,13,5,11,12,4,2,1,3,6,10,7,8]",4
296875926,"[9,11,5,12,13,1,2,3,4,6,10,7,8]",4
297607872,"[9,12,5,11,13,1,6,4,3,2,10,7,8]",4
298618068,"[9,11,1,13,10,2,7,5,3,4,12,6,8]",4
302141347,"[9,12,3,11,13,1,4,2,5,6,10,7,8]",4
302292338,"[9,12,1,10,13,4,5,2,3,6,11,7,8]",4
302423103,"[9,11,3,10,12,5,6,2,4,1,13,7,8]",4
302446846,"[9,11,3,10,12,4,7,1,2,6,13,5,8]",4
303817523,"[9,13,5,10,11,1,7,3,2,4,12,6,8]",4
304186425,"[9,12,5,10,13,4,6,3,1,2,11,7,8]",4
304577113,"[9,10,5,12,13,2,7,1,3,4,11,6,8]",4
305188701,"[9,10,5,13,11,2,6,1,3,4,12,7,8]",4
305236490,"[9,11,2,12,13,4,6,1,5,3,10,7,8]",4
307222051,"[9,11,4,13,10,3,7,2,5,6,12,1,8]",4
307789056,"[9,12,4,10,11,5,1,2,3,6,13,7,8]",4
308908636,"[9,10,3,13,11,5,1,4,2,6,12,7,8]",4
309845855,"[9,10,3,11,13,4,2,5,1,6,12,7,8]",4
310571576,"[9,11,3,12,10,2,4,1,5,6,13,7,8]",4
311342372,"[9,11,4,10,13,3,7,1,2,6,12,5,8]",4
311843191,"[9,12,2,10,11,4,7,1,3,6,13,5,8]",4
311975719,"[9,13,5,10,11,4,7,2,1,3,12,6,8]",4
312208645,"[9,13,1,12,10,2,7,3,4,6,11,5,8]",4
312558136,"[9,10,3,11,12,2,6,1,4,5,13,7,8]",4
312939771,"[9,13,3,12,11,1,7,4,5,2,10,6,8]",4
313004247,"[9,10,4,12,13,1,7,2,3,5,11,6,8]",4
313962451,"[9,11,1,13,12,3,4,5,2,6,10,7,8]",4
314742650,"[9,13,4,10,11,2,6,1,5,3,12,7,8]",4
316504554,"[9,13,4,10,12,3,1,2,5,6,11,7,8]",4
316845706,"[9,13,1,10,12,3,6,2,5,4,11,7,8]",4
317533092,"[9,10,4,12,11,5,6,1,3,2,13,7,8]",4
317946993,"[9,12,4,11,13,2,1,3,5,6,10,7,8]",4
318975333,"[9,12,3,11,10,2,4,1,5,6,13,7,8]",4
319005645,"[9,10,5,12,11,1,7,2,4,3,13,6,8]",4
319674986,"[9,10,1,12,13,5,3,4,2,6,11,7,8]",4
319857522,"[9,11,1,10,13,4,5,3,2,6,12,7,8]",4
321662382,"[9,11,2,13,10,4,1,3,5,6,12,7,8]",4
322630390,"[9,11,3,10,13,1,4,5,2,6,12,7,8]",4
323552024,"[9,12,2,10,13,5,7,1,3,4,11,6,8]",4
324840992,"[9,11,4,12,10,5,7,2,1,6,13,3,8]",4
325076625,"[9,11,5,13,10,2,7,3,4,1,12,6,8]",4
325900378,"[9,10,1,11,12,3,4,5,2,6,13,7,8]",4
