PermutationIndex,Permutation,MatterQubits
550477922,"[7,6,1,8,5,9,3,12,11,13,2,4,10]",4
551701382,"[7,6,4,8,3,9,5,11,12,13,2,1,10]",4
551883009,"[4,7,5,8,6,9,1,10,12,13,3,2,11]",4
552163982,"[5,7,3,8,1,9,4,13,11,10,6,2,12]",4
552316007,"[7,1,3,8,2,9,4,10,12,13,6,5,11]",4
552874890,"[6,7,2,8,3,9,5,12,13,11,4,1,10]",4
553864465,"[1,7,3,8,6,9,4,12,13,11,2,5,10]",4
554239078,"[6,7,2,8,5,9,4,11,13,10,1,3,12]",4
554240675,"[7,2,5,8,3,9,1,10,13,11,6,4,12]",4
554590499,"[4,7,6,8,3,9,5,10,12,13,2,1,11]",4
554591466,"[7,6,2,8,4,9,5,11,12,13,3,1,10]",4
554941219,"[3,7,6,8,2,9,5,12,11,13,4,1,10]",4
554956329,"[4,7,6,8,1,9,5,10,13,12,2,3,11]",4
555033724,"[5,7,2,8,6,9,4,13,12,10,1,3,11]",4
555542364,"[7,6,4,8,3,9,1,13,12,11,5,2,10]",4
556007011,"[7,6,5,8,1,9,3,11,10,12,2,4,13]",4
556147423,"[7,1,5,8,4,9,3,13,10,11,6,2,12]",4
556534318,"[2,7,4,8,1,9,5,11,13,12,6,3,10]",4
556599102,"[5,7,2,8,6,9,3,13,10,11,1,4,12]",4
556832915,"[7,2,4,8,3,9,5,10,13,12,6,1,11]",4
557271144,"[7,6,4,8,2,9,1,13,10,11,5,3,12]",4
559236266,"[4,7,1,8,3,9,5,11,13,10,6,2,12]",4
559745384,"[4,7,1,8,6,9,5,11,12,10,3,2,13]",4
560115026,"[4,7,3,8,6,9,2,11,13,12,1,5,10]",4
560499647,"[7,1,5,8,3,9,2,12,11,10,6,4,13]",4
560673607,"[6,7,3,8,4,9,1,13,11,10,5,2,12]",4
561243508,"[5,7,2,8,6,9,3,10,13,12,1,4,11]",4
561697169,"[7,6,4,8,2,9,3,11,12,13,1,5,10]",4
562604233,"[7,6,2,8,5,9,4,11,12,13,1,3,10]",4
563231972,"[7,2,5,8,4,9,3,13,10,11,6,1,12]",4
563417868,"[1,7,2,8,6,9,3,11,10,13,5,4,12]",4
563521092,"[4,7,3,8,6,9,1,13,12,10,5,2,11]",4
564370360,"[7,6,2,8,5,9,3,13,11,10,1,4,12]",4
564522246,"[2,7,6,8,5,9,1,10,13,12,4,3,11]",4
564750525,"[6,7,5,8,1,9,3,11,12,13,2,4,10]",4
